,long_name,short_name,short_loc,league,
Atlanta Silverbacks,Atlanta Silverbacks,Atlanta Silverbacks,ATL,,North American
Carolina RailHawks,Carolina RailHawks,Carolina RailHawks,CAR,,North American
FC Edmonton,FC Edmonton,FC Edmonton,FCE,,North American
Fort Lauderdale Strikers,Fort Lauderdale Strikers,,FTL,,North American
Minnesota United,Minnesota United,Minnesota United,MNU,,North American
New York Cosmos,New York Cosmos,New York Cosmos,NYC,,North American
Puerto Rico Islanders,Puerto Rico Islanders,,,,North American
San Antonio Scorpions ,San Antonio Scorpions ,,SAS,,North American
INDY ELEVEN,INDY ELEVEN,INDY ELEVEN,IND,,North American
Ottawa Fury FC,Ottawa Fury FC,Ottawa Fury FC,FUR,,North American
Jacksonville Armada FC,Jacksonville Armada FC,,,,North American
Tampa Bay Rowdies,Tampa Bay Rowdies,,TBR,,North American
Fire,Fire,Fire,CHI,,MLS
Chivas,Chivas,Chivas,CHV,,MLS
Rapids,Rapids,Rapids,COL,,MLS
Crew,Crew,Crew,CLB,,MLS
DC United,DC United,DC United,DC,,MLS
FC Dallas,FC Dallas,FC Dallas,DAL,,MLS
Dynamo,Dynamo,Dynamo,HOU,,MLS
Galaxy,Galaxy,Galaxy,LA,,MLS
Montreal,Montreal,Montreal,MTL,,MLS
New England Revs,New England Revs,New England Revs,NE,,MLS
New York City FC,New York City FC,New York City FC,,,MLS
REd Bulls,Red Bulls,Red Bulls,NY,,MLS
Philadelphia,Philadelphia,Philadelphia,PHI,,MLS
Portland Timbers,Portland Timbers,Portland Timbers,POR,,MLS
Real Salt Lake,Real Salt Lake,Real Salt Lake,RSL,,MLS
San Jose Quakes,San Jose Quakes,San Jose Quakes,SJ,,MLS
Seattle Sounders,Seattle Sounders,Seattle Sounders,SEA,,MLS
Sporting KC,Sporting KC,Sporting KC,SKC,,MLS
Toronto,Toronto,Toronto,TOR,,MLS
Whitecaps,Whitecaps,Whitecaps,VAN,,MLS
AFC Wimbledon,AFC Wimbledon,AFC Wimbledon,,,League Two
Accrington Stanley,Accrington Stanley, Accrington Stanley,,,League Two
Bristol Rovers,Bristol Rovers, Bristol Rovers,,,League Two
Burton Albion,Burton Albion, Burton Albion,,,League Two
Bury,Bury, Bury,,,League Two
Cheltenham Town,Cheltenham Town, Cheltenham Town,,,League Two
Chesterfield,Chesterfield, Chesterfield,,,League Two
Dagenham & Redbridge,Dagenham & Redbridge,,,,League Two
Exeter City,Exeter City, Exeter City,,,League Two
Fleetwood Town,Fleetwood Town, Fleetwood Town,,,League Two
Hartlepool United,Hartlepool United, Hartlepool United,,,League Two
Mansfield Town,Mansfield Town, Mansfield Town,,,League Two
Morecame,Morecame, Morecambe,,,League Two
Newport County,Newport County, Newport County,,,League Two
Northampton Town,Northampton Town, Northampton Town,,,League Two
Oxford United,Oxford United, Oxford United,,,League Two
Plymouth Argyle,Plymouth Argyle, Plymouth Argyle,,,League Two
Portsmouth,Portsmouth, Portsmouth,,,League Two
Rochdale,Rochdale, Rochdale,,,League Two
Scunthorpe,Scunthorpe, Scunthorpe,,,League Two
Southend United,Southend United, Southend United,,,League Two
Torquay United,Torquay United, Torquay United,,,League Two
Wycombe Wanderers,Wycombe Wanderers,,,,League Two
York City,York City, York City,,,League Two
Bradford City,Bradford City,Bradford City,,,League One
 Gillingham, Gillingham, Gillingham,,,League One
 Leyton Orient, Leyton Orient, Leyton Orient,,,League One
 Milton Keynes, Milton Keynes, Milton Keynes,,,League One
 Notts County, Notts County, Notts County,,,League One
 Brentford, Brentford, Brentford,,,League One
 Bristol City, Bristol City, Bristol City,,,League One
 Carlisle United, Carlisle United, Carlisle United,,,League One
 Colchester United, Colchester United, Colchester United,,,League One
 Coventry City, Coventry City, Coventry City,,,League One
 Crawley Town, Crawley Town, Crawley Town,,,League One
